Name,Price
"Asus 2022 VivoBook Business Laptop, 15.6'' FHD Touchscreen, Intel Core i3-1115G4 (Beats i7-8550U), 20GB RAM, 512GB PCIe SSD, Fingerprint, Long Battery Life, SonicMaster Audio, Thin & Light, Win 11",$499.00
"ASUS VivoBook 14 Slim Laptop, 14"" FHD Display, Intel 6-Core i3-1215U Up to 4.4 GHz, 8GB RAM DDR4, 512GB PCIe SSD, Backlit, Fingerprint, Webcam, Type-C, Win11 Pro",$389.99
"ASUS Zenbook 14 Flip OLED Laptop, 14” OLED Touch Display, Intel Evo Platform, Intel Core i5-1340P CPU, Intel Iris Xe Graphics, 16GB RAM, 512GB SSD, Windows 11 Home, Foggy Silver, UP3404VA-DS54T-S",$999.99
"ASUS Vivobook Pro 15 OLED Laptop, 15.6” 2.8K OLED Display, AMD Ryzen 7 6800H Mobile CPU, NVIDIA GeForce RTX 3050 Ti GPU, 16GB RAM, 1TB SSD, Windows 11 Home, Quiet Blue, M6500RE-EB74","$1,149.00"
"ASUS Vivobook 14"" HD Touch Screen Laptop Computer, 11th Gen Intel Core i3-1115G4, 8GB Memory, 128GB SSD, Intel UHD Graphics, Windows 11 Home, Silver - X1400EA-I38128",N/A
"ASUS TUF Gaming F17 (2023) Gaming Laptop, 17.3” FHD 144Hz Display, GeForce RTX 4050, AMD Ryzen 7 7735HS, 16GB DDR5, 1TB PCIe 4.0 SSD, Wi-Fi 6, Windows 11, FA707NU-DS74,Mecha Gray","$1,229.99"
"ASUS VivoBook S14 S433 Thin and Light Laptop, 14” FHD Display, Intel Core i5-1135G7 CPU, 8GB DDR4 RAM, 512GB SSD, Thunderbolt 3, Wi-Fi 6, Windows 10, AI Noise-Cancellation, Indie Black, S433EA-DH51",$729.99
"ASUS Vivobook 16 Laptop, 16” WUXGA (1920 x 1200) 16:10 Display, Intel Core i5-1235U CPU, Intel UHD Graphics, 8GB RAM, 512GB SSD, Windows 11 Home, Indie Black, F1605ZA-AS52",$549.99
"ASUS ZenBook Pro Duo 15 OLED UX582 Laptop, 15.6 inch OLED UHD Touch Display, Intel Core i9-11900H, 32GB RAM, 1TB SSD, GeForce RTX 3060, ScreenPad, Windows 11 Pro, Celestial Blue, UX582HM-XH96T",N/A
"ASUS VivoBook Pro 16 Laptop, 16” 16:10 Display, Intel Core i7-12650H CPU, NVIDIA® GeForce RTX 3050 Ti GPU, 16GB RAM, 1TB SSD, Windows 11 Home, Quiet Blue, K6602ZE-DB76","$1,388.51"
"ASUS ROG Strix G16 Gaming Laptop, 16"" WUXGA 165Hz, GeForce RTX 4060 140W, 13th Gen Intel 14-Core i7-13650HX, 32GB DDR5, 1TB PCIe SSD, Thunderbolt 4, 4-Zone RGB, HDMI, RJ45, WiFi 6E, Win 11 Pro","$1,709.99"
"ASUS VivoBook 14 Thin and Light Laptop, 14"" FHD IPS Display, 11th Gen Core i3-1115G4, 12GB DDR4 RAM, 256GB PCIe SSD, USB-C, HDMI, Backlit Keyboard, Fingerprint Reader, WiFi, Webcam, Win 11",$349.99
"ASUS Chromebook Vibe C55 Flip, Cloud Gaming Laptop, 15.6"" Full HD 144 Hz Touch Display, Intel® Core™ i5-1135G7 Processor, 512GB SSD, 16GB RAM, ChromeOS, Mineral Gray, CX5501FEA-AS562T",$699.99
"ASUS Zenbook S 13 OLED Ultra Laptop, 13.3” OLED 2.8K Display, Intel Evo Certified, i7-1355U CPU, Intel® Iris Xe Graphics, 32GB RAM, 1TB SSD, Windows 11 Pro, Basalt Grey, UX5304VA-XS76T","$1,399.99"
